tanggal,waktu,Tinggi Gelombang\m,Curah Hujan\m,Kecepatan Angin m/s
7/1/2025,6:00:00 AM,0.47016102,0,3.169491641
7/1/2025,6:00:00 AM,0.44123036,0,3.907039501
7/1/2025,6:00:00 AM,0.36151844,0,2.656844915
7/1/2025,6:00:00 AM,0.22821766,4.77E-07,1.104606723
7/1/2025,6:00:00 AM,0.26776844,8.11E-06,1.554355474
7/1/2025,6:00:00 AM,0.46271473,0,4.15415387
7/1/2025,6:00:00 AM,0.44037586,0,3.980747481
7/1/2025,6:00:00 AM,0.39777333,0,4.526943306
7/1/2025,6:00:00 AM,0.29413563,0,4.325035398
7/1/2025,6:00:00 AM,0.30853993,0,2.747067552
7/1/2025,6:00:00 AM,0.46918446,0,5.598404618
7/1/2025,6:00:00 AM,0.47541004,0,5.262590603
7/1/2025,6:00:00 AM,0.4234081,0,4.420237136
7/1/2025,6:00:00 AM,0.355537,0,4.458956917
7/1/2025,6:00:00 AM,0.21784168,0.000182152,2.62749973
7/1/2025,6:00:00 AM,0.46234852,0,4.968593305
7/1/2025,6:00:00 AM,0.4624706,0,4.692934925
7/1/2025,6:00:00 AM,0.39960438,0,4.003626499
7/1/2025,6:00:00 AM,0.29572254,0,3.651704051
7/1/2025,6:00:00 AM,0.42157704,0,4.232426006
7/1/2025,6:00:00 AM,0.43549305,0,4.506037106
7/1/2025,6:00:00 AM,0.40192372,0,4.616325919
7/1/2025,6:00:00 AM,0.26166493,0,4.19389078
7/1/2025,6:00:00 AM,0.33222157,0,3.833390164
7/1/2025,6:00:00 AM,0.4176708,0,4.029708567
7/1/2025,6:00:00 AM,0.4098583,0,4.598014437
7/1/2025,6:00:00 AM,0.4801708,0,4.786137263
7/1/2025,6:00:00 AM,0.49726063,0,4.810570382
7/1/2025,6:00:00 AM,0.4282909,0,4.022065893
7/1/2025,6:00:00 AM,0.13300282,0,0.779347579
7/1/2025,6:00:00 AM,0.5932079,0,5.027081434
7/1/2025,6:00:00 AM,0.6048046,0,5.535965413
7/1/2025,6:00:00 AM,0.5730663,0,6.155335273
7/1/2025,6:00:00 AM,0.42072254,1.38E-05,4.846007044
7/1/2025,6:00:00 AM,0.21662098,1.38E-05,2.459313186
7/1/2025,6:00:00 AM,0.16559559,2.86E-06,0.82111008
7/1/2025,7:00:00 AM,0.55116165,0,6.120331183
7/1/2025,7:00:00 AM,0.3873433,2.10E-05,2.86777126
7/1/2025,7:00:00 AM,0.2840718,0.000115395,2.718521818
7/1/2025,7:00:00 AM,0.4399556,0,2.5155708
7/1/2025,7:00:00 AM,0.47633255,0,2.502596922
7/1/2025,7:00:00 AM,0.5008687,0,3.513694624
7/1/2025,7:00:00 AM,0.44373977,0,3.995130325
7/1/2025,7:00:00 AM,0.28480422,1.29E-05,2.387498367
7/1/2025,7:00:00 AM,0.44019973,0,2.761679866
7/1/2025,7:00:00 AM,0.44557083,0,2.895148334
7/1/2025,7:00:00 AM,0.41163528,0,2.947426861
7/1/2025,7:00:00 AM,0.34254348,0,3.508414551
7/1/2025,7:00:00 AM,0.21632278,2.38E-06,0.641173449
7/1/2025,7:00:00 AM,0.26783645,0,1.911858499
7/1/2025,7:00:00 AM,0.4535054,0,4.792946161
7/1/2025,7:00:00 AM,0.41920364,0,3.949992633
7/1/2025,7:00:00 AM,0.37391555,0,3.615076222
7/1/2025,7:00:00 AM,0.30152786,0,4.713378225
7/1/2025,7:00:00 AM,0.3026265,0,3.419499699
7/1/2025,7:00:00 AM,0.47230422,0,5.758346051
7/1/2025,7:00:00 AM,0.4752339,0,5.357418562
7/1/2025,7:00:00 AM,0.40846145,0,4.239793131
7/1/2025,7:00:00 AM,0.33936965,4.77E-07,3.738888688
7/1/2025,7:00:00 AM,0.24427688,0.000895023,2.977385341
7/1/2025,7:00:00 AM,0.46278274,0,5.035273708
7/1/2025,7:00:00 AM,0.4559468,0,4.664122785
7/1/2025,7:00:00 AM,0.38612258,0,3.917720969
7/1/2025,7:00:00 AM,0.28712356,7.06E-05,2.891183559
7/1/2025,7:00:00 AM,0.4210347,0,4.556240356
7/1/2025,7:00:00 AM,0.42896926,0,4.631130247
7/1/2025,7:00:00 AM,0.39576614,0,4.597827333
7/1/2025,7:00:00 AM,0.25953567,1.24E-05,3.927067255
7/1/2025,7:00:00 AM,0.3412007,0,4.27753002
7/1/2025,7:00:00 AM,0.4148091,0,4.401944356
7/1/2025,7:00:00 AM,0.40101516,0,4.367320076
7/1/2025,7:00:00 AM,0.48902786,0,5.050330174
7/1/2025,7:00:00 AM,0.50843704,0,5.385220397
7/1/2025,7:00:00 AM,0.440688,0,4.535866919
7/1/2025,7:00:00 AM,0.15016067,6.20E-06,1.241596563
7/1/2025,7:00:00 AM,0.5894917,0,5.035508874
7/1/2025,7:00:00 AM,0.5985249,0,5.648109865
7/1/2025,7:00:00 AM,0.5699605,0,6.271066204
7/1/2025,7:00:00 AM,0.40956008,9.11E-05,4.54327391
7/1/2025,7:00:00 AM,0.21424758,0.000430107,2.237551448
7/1/2025,7:00:00 AM,0.16419876,6.01E-05,0.539646149
7/1/2025,8:00:00 AM,0.53054446,0,5.375920383
7/1/2025,8:00:00 AM,0.37075442,3.19E-05,2.414354529
7/1/2025,8:00:00 AM,0.27102298,3.53E-05,2.267172824
7/1/2025,8:00:00 AM,0.4250757,0,2.945877881
7/1/2025,8:00:00 AM,0.45290774,0,1.768803685
7/1/2025,8:00:00 AM,0.4674341,0,2.41463893
7/1/2025,8:00:00 AM,0.41665286,0,3.508418795
7/1/2025,8:00:00 AM,0.27480716,9.06E-06,2.091511747
7/1/2025,8:00:00 AM,0.42617434,0,3.353735386
7/1/2025,8:00:00 AM,0.4250757,0,2.909403458
7/1/2025,8:00:00 AM,0.385647,0,2.073128478
7/1/2025,8:00:00 AM,0.3247339,0,3.376428399
7/1/2025,8:00:00 AM,0.20644778,3.34E-06,0.661740723
7/1/2025,8:00:00 AM,0.26174563,0,2.266561269
7/1/2025,8:00:00 AM,0.44912356,0,5.026182368
7/1/2025,8:00:00 AM,0.40322512,0,3.872841702
7/1/2025,8:00:00 AM,0.35158938,0,2.718560601
7/1/2025,8:00:00 AM,0.30239505,0,4.011985162
